,commit_hash,file_path,filename,reason,change,line
0,a2d49f54a3b230dfd4daf47103a462ebaac03c40,spring-boot-admin-server-ui/src/main/frontend/components/sba-modal.stories.js,sba-modal.stories.js,bind\(.*\),export const ModalWithBody = Template.bind({});,38
1,a2d49f54a3b230dfd4daf47103a462ebaac03c40,spring-boot-admin-server-ui/src/main/frontend/components/sba-modal.stories.js,sba-modal.stories.js,bind\(.*\),export const ModalWithHeaderAndFooter = Template.bind({});,44
2,0e544ebedf71cd37edd75f6351fe5ed0b41d1c93,spring-boot-admin-server-ui/src/main/frontend/components/sba-action-button-scoped.stories.js,sba-action-button-scoped.stories.js,bind\(.*\),export const OneInstanceSuccessful = TemplateWithProps.bind({});,32
3,0e544ebedf71cd37edd75f6351fe5ed0b41d1c93,spring-boot-admin-server-ui/src/main/frontend/components/sba-action-button-scoped.stories.js,sba-action-button-scoped.stories.js,bind\(.*\),export const MultipleInstancesSuccessful = TemplateWithProps.bind({});,45
4,0e544ebedf71cd37edd75f6351fe5ed0b41d1c93,spring-boot-admin-server-ui/src/main/frontend/components/sba-action-button-scoped.stories.js,sba-action-button-scoped.stories.js,bind\(.*\),export const OneInstanceFailing = TemplateWithProps.bind({});,51
5,0e544ebedf71cd37edd75f6351fe5ed0b41d1c93,spring-boot-admin-server-ui/src/main/frontend/components/sba-action-button-scoped.stories.js,sba-action-button-scoped.stories.js,bind\(.*\),export const SlottedOneInstanceSuccessful = TemplateWithSlot.bind({});,78
6,0e544ebedf71cd37edd75f6351fe5ed0b41d1c93,spring-boot-admin-server-ui/src/main/frontend/components/sba-action-button-scoped.stories.js,sba-action-button-scoped.stories.js,bind\(.*\),export const SlottedOneInstanceFailing = TemplateWithSlot.bind({});,90
7,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-alert.stories.js,sba-alert.stories.js,bind\(.*\),export const AlertError = Template.bind({});,14
8,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-alert.stories.js,sba-alert.stories.js,bind\(.*\),export const AlertWarning = Template.bind({});,21
9,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-alert.stories.js,sba-alert.stories.js,bind\(.*\),export const AlertInfo = Template.bind({});,27
10,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-alert.stories.js,sba-alert.stories.js,bind\(.*\),export const AlertSuccess = Template.bind({});,33
11,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-panel.stories.js,sba-panel.stories.js,bind\(.*\),export const WithTitle = Template.bind({});,34
12,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-panel.stories.js,sba-panel.stories.js,bind\(.*\),export const Closable = Template.bind({});,39
13,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-panel.stories.js,sba-panel.stories.js,bind\(.*\),export const StickyHeader = Template.bind({});,45
14,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const Status = Template.bind({}),15
15,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusUp = Template.bind({}),17
16,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusRestricted = Template.bind({}),23
17,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusOos = Template.bind({}),29
18,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusDown = Template.bind({}),35
19,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusOffline = Template.bind({}),41
20,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-status.stories.js,sba-status.stories.js,bind\(.*\),export const StatusUnknown = Template.bind({}),47
21,4b72b427b077ad24bdda56033b9c8fd597e633c1,spring-boot-admin-server-ui/src/main/frontend/components/sba-tags.stories.js,sba-tags.stories.js,bind\(.*\),export const Tags = Template.bind({});,14
22,b350d554597577178ab95bc046528eb39a11e6cc,spring-boot-admin-server/src/main/java/de/codecentric/boot/admin/server/config/SpringBootAdminServerEnabledCondition.java,SpringBootAdminServerEnabledCondition.java,bind\(.*\),"		Binder.get(context.getEnvironment()).bind(""spring.boot.admin"", Bindable.ofInstance(serverProperties));",46
